latitude,longitude
30.398095,-88.790076
30.5947996192,-89.0583749861
30.39550391,-88.7937584
30.3977775574,-88.7900009155
30.3978616667,-88.79
34.7814944444,-89.9659361111
33.067647,-90.269042
30.3978716667,-88.7901783333
30.3755572931,-88.7119066715
30.3534661946,-89.136813506
30.4147638889,-88.5432972222
30.39792328,-88.79016611
30.3913896,-88.7910023
30.4105310989,-88.7795459479
30.3979277778,-88.7901222222
31.5279372836,-89.5366999872
31.4369020834,-89.3077325821
30.3633906346,-88.76726655
30.3754641,-89.6140166
30.3951616667,-88.7970583333
30.3593970326,-88.6730146408
33.2724960837,-88.779553324
32.5795099426,-89.8700523376
30.3977478,-88.79201431
30.3980055151,-88.7901782244
33.8463166667,-90.081305
30.3924340988,-88.7880295236
30.3925032076,-88.7879705989
30.3936828766,-88.7880809047
30.3978491854,-88.7900483888
30.3978848923,-88.7899531704
30.3979136003,-88.78996172
30.3924,-88.7883383333
30.2103941485,-88.9311804376
30.4147638889,-88.5432972222
31.1833975587,-89.735212326
30.39792,-88.7901
33.2708043661,-88.7844703956
33.2862671018,-88.8049091566
33.7855983333,-90.1467083333
32.3378098518,-90.1324480123
33.2750890551,-88.7770828519
31.3793359,-91.3987257
31.42599,-91.4531355
31.3515621046,-91.4410787422
33.2634716667,-88.80648
33.26099,-88.81421
33.2805123414,-88.80899527
30.39588085,-88.79399273
30.405865,-88.819276
33.2822693214,-88.8055118262
30.3978716667,-88.7901
33.2710897712,-88.7831592619
33.2821121216,-88.7911682129
30.4498616667,-88.6613533333
30.449842453,-88.6611938477
31.3372325463,-91.4408497149
33.274,-88.791
33.2639415387,-88.7806564977
31.42599,-91.4531355
33.2901372669,-88.7826463292
30.4057719234,-88.6266129391
30.2081116667,-88.9762633333
33.2711433,-88.7836106
31.42599,-91.4531355
33.0204971667,-90.3186333333
32.5843169743,-89.858694311
33.271625,-88.7761166667
33.2819370021,-88.8058460868
31.42599,-91.4531355
31.42599,-91.4531355
31.42599,-91.4531355
31.42599,-91.4531355
33.2742083333,-88.7904966667
33.2689522748,-88.7845657021
31.42599,-91.4531355
33.0789800395,-91.0269299451
31.42599,-91.4531355
31.42599,-91.4531355
31.42599,-91.4531355
30.3715697,-88.8395037
30.3559916667,-88.6912
32.5794342,-89.8699551
33.84607,-90.0804566667
33.2722596464,-88.7897675593
33.2841954441,-88.7783837603
30.4070089615,-88.8180498226
33.2779352778,-88.7775408333
33.2711066166,-88.7775521688
