# Weather statistics for December 2020 in Starkville,,,,,,,,
Date,temperature_max,temperature_avg,temperature_low,humidity_high,humidity_avg,humidity_low,wind_max,wind_avg
12/1/2020,11.8,0.7,-5.6,0.9,0.64,0.17,9,0.4
12/2/2020,13.4,2.1,-6.3,0.9,0.67,0.19,9,0.3
12/3/2020,11.8,7.3,0.8,0.91,0.66,0.42,9,0.5
12/4/2020,11.2,6.6,0.3,0.91,0.84,0.6,11.2,0.6
12/5/2020,17.1,5.9,-1.3,0.92,0.75,0.3,6.5,0.2
12/6/2020,14.5,6.8,-0.8,0.92,0.74,0.43,4,0
12/7/2020,9.6,3.8,-2,0.91,0.7,0.4,14.8,1
12/8/2020,15.5,4.3,-3.7,0.91,0.75,0.37,5,0.2
12/9/2020,21.9,7.7,-1.7,0.92,0.66,0.18,7.6,0.5
12/10/2020,24,9.8,0.6,0.91,0.67,0.21,6.5,0.2
12/11/2020,19.8,12,2.6,0.91,0.79,0.62,7.2,0.2
12/12/2020,18.4,13.5,6.1,0.92,0.88,0.71,6.1,0.3
#12/13/2020,16.9,9.2,2.1,0.92,0.85,0.62,18.7,1
12/14/2020,6.9,5.2,1.4,0.9,0.82,0.71,13.7,2
12/15/2020,10.8,5.1,-1.5,0.9,0.74,0.51,7.9,0.3
12/16/2020,6.1,4,2.3,0.91,0.84,0.74,8.6,0.7
12/17/2020,8.6,2.6,-3.1,0.9,0.67,0.33,9.7,0.7
12/18/2020,11.4,1.9,-4.8,0.91,0.73,0.35,10.4,0.3
12/19/2020,14.1,5.9,-2.4,0.91,0.74,0.37,14,0.7
12/20/2020,13.9,9.9,7.9,0.91,0.87,0.78,4.7,0.1
12/21/2020,19.1,9.5,2.6,0.91,0.67,0.22,10.1,0.9
12/22/2020,19.8,8.5,0.2,0.91,0.63,0.16,6.1,0.3
12/23/2020,16.6,9.4,3.3,0.91,0.73,0.59,12.2,1
12/24/2020,15.8,3.7,-3.9,0.91,0.61,0.27,16.6,4.4
12/25/2020,5.3,-0.8,-6,0.81,0.44,0.16,12.2,1.8
12/26/2020,15.2,2.7,-6.4,0.88,0.56,0.2,10.4,0.3
12/27/2020,19.2,7.6,-2.1,0.83,0.52,0.21,12.2,0.7
12/28/2020,17.6,10.6,6.4,0.81,0.69,0.56,4,0.1
