date,time,tz,st,mag,lat,lon,len,wid
10/1/1950,21:00:00,3,OK,1,36.73,-102.52,15.8,10
10/9/1950,2:15:00,3,NC,3,34.17,-78.6,2,880
11/20/1950,2:20:00,3,KY,2,37.37,-87.2,0.1,10
11/20/1950,4:00:00,3,KY,1,38.2,-84.5,0.1,10
11/20/1950,7:30:00,3,MS,1,32.42,-89.13,2,37
11/4/1950,17:00:00,3,PA,3,40.2,-76.12,15.9,100
12/2/1950,15:00:00,3,IL,2,38.97,-90.05,18.8,50
12/2/1950,16:00:00,3,IL,3,38.75,-89.67,18,200
12/2/1950,16:25:00,3,AR,3,36.12,-91.83,7.8,10
12/2/1950,17:30:00,3,IL,1,38.17,-89.78,9.6,50
1/13/1950,5:25:00,3,AR,3,34.4,-94.37,0.6,17
1/25/1950,19:30:00,3,MO,2,37.6,-90.68,2.3,300
1/25/1950,21:00:00,3,IL,2,41.17,-87.33,0.1,100
1/26/1950,18:00:00,3,TX,2,26.88,-98.12,4.7,133
1/3/1950,11:00:00,3,MO,3,38.77,-90.22,9.5,150
1/3/1950,11:00:00,3,MO,3,38.77,-90.22,6.2,150
1/3/1950,11:10:00,3,IL,3,38.82,-90.12,3.3,100
1/3/1950,11:55:00,3,IL,3,39.1,-89.3,3.6,130
1/3/1950,16:00:00,3,OH,1,40.88,-84.58,0.1,10
2/11/1950,13:10:00,3,TX,2,29.42,-95.25,9.9,400
2/11/1950,13:50:00,3,TX,3,29.67,-95.05,12,1000
2/11/1950,21:00:00,3,TX,2,32.35,-95.2,4.6,100
2/11/1950,23:55:00,3,TX,2,32.98,-94.63,4.5,67
2/12/1950,0:30:00,3,TX,2,33.33,-94.42,8,833
2/12/1950,1:15:00,3,TX,1,32.08,-98.35,2.3,233
2/12/1950,6:10:00,3,TX,2,31.52,-96.55,3.4,100
2/12/1950,11:57:00,3,TX,1,31.8,-94.2,7.7,100
2/12/1950,12:00:00,3,MS,2,34.6,-89.12,0.1,10
2/12/1950,12:00:00,3,MS,1,34.6,-89.12,2,10
2/12/1950,12:00:00,3,TX,3,31.8,-94.2,1.9,50
2/12/1950,12:30:00,3,AR,2,34.48,-92.4,0.1,100
2/12/1950,13:00:00,3,LA,4,31.97,-94,82.6,100
2/12/1950,13:20:00,3,LA,2,32.2,-93.58,58.4,100
2/12/1950,14:00:00,3,LA,3,31.63,-93.65,74.5,100
2/12/1950,14:20:00,3,LA,2,0,0,0,0
2/12/1950,15:00:00,3,AR,2,33.27,-92.95,5.7,100
2/12/1950,23:00:00,3,LA,1,32.6,-91.33,0.5,33
2/13/1950,1:00:00,3,TN,1,35.35,-89.77,0.2,10
2/13/1950,2:00:00,3,TN,2,35.75,-89.48,0.2,10
2/27/1950,10:20:00,3,OK,2,35.55,-97.6,2,50
3/16/1950,9:15:00,3,FL,2,29.65,-81.22,1.5,150
3/19/1950,7:30:00,3,LA,1,30.45,-93.45,2,33
3/19/1950,13:15:00,3,LA,2,30.1,-91,1,50
3/19/1950,13:15:00,3,LA,0,29.7,-90.1,18.1,27
3/26/1950,19:30:00,3,AR,2,34.12,-93.07,17.4,150
3/26/1950,19:31:00,3,AR,3,36.15,-91.83,5.7,200
3/26/1950,20:30:00,3,AR,2,34.7,-92.35,10.4,600
3/26/1950,21:15:00,3,AR,3,34.98,-91.73,14.9,1760
3/26/1950,23:30:00,3,AR,2,35.1,-91.4,5.4,833
3/27/1950,3:00:00,3,OK,2,34.85,-95.75,0.1,77
3/27/1950,5:00:00,3,MS,2,33.17,-90.55,0.1,10
3/27/1950,6:00:00,3,LA,1,32.63,-91.28,15.3,17
3/27/1950,7:30:00,3,MS,2,33.13,-89.57,11.9,10
3/27/1950,7:45:00,3,MS,2,0,0,0,0
3/27/1950,7:45:00,3,MS,2,32.28,-90.27,59.3,50
3/27/1950,7:45:00,3,MS,2,0,0,0,0
3/27/1950,7:45:00,3,MS,2,32.28,-90.27,31.9,50
3/27/1950,8:30:00,3,LA,1,30.92,-91.13,0.5,27
3/27/1950,8:45:00,3,MS,2,33.67,-88.78,4.7,10
3/27/1950,11:00:00,3,MS,1,34.73,-88.27,0.1,10
3/27/1950,15:00:00,3,TN,1,35.68,-85.77,0.2,10
3/27/1950,16:30:00,3,IL,2,40.57,-88.6,3,50
3/1/1950,2:30:00,3,MS,1,32.5,-88.85,0.1,10
4/18/1950,1:30:00,3,AL,3,30.67,-88.2,14,100
4/18/1950,1:45:00,3,AL,2,30.7,-87.92,2,150
4/24/1950,7:45:00,3,LA,1,30.1,-90.03,2,100
4/27/1950,16:00:00,3,SC,1,33.07,-80,0.7,37
4/28/1950,14:17:00,3,OK,3,34.88,-99.28,20.8,400
4/28/1950,17:00:00,3,KS,1,38.12,-95.85,19.8,10
4/28/1950,18:00:00,3,TX,4,32.42,-99.5,1.3,233
4/28/1950,19:05:00,3,OK,4,35.08,-96.4,4.5,200
4/28/1950,19:30:00,3,OK,2,34.55,-96.2,0.8,100
4/29/1950,12:00:00,3,MS,2,31.27,-89.83,11.3,100
4/29/1950,15:30:00,3,TX,1,31.9,-98.6,11.5,200
4/2/1950,15:30:00,3,AR,3,35.75,-91.22,2.5,10
4/2/1950,18:00:00,3,OK,2,35.82,-97.02,1,100
4/2/1950,18:00:00,3,AR,1,35.98,-89.92,0.8,100
4/3/1950,16:15:00,3,OK,1,36.13,-95.83,1,33
5/10/1950,13:00:00,3,WY,2,41.18,-110.42,2,33
5/11/1950,18:30:00,3,OK,1,36.82,-100.52,0.5,77
5/12/1950,14:00:00,3,NC,1,35.75,-77.42,2,10
5/12/1950,17:00:00,3,NC,1,35.73,-78.4,1,200
5/12/1950,17:00:00,3,NC,0,35.73,-78.4,1,200
5/13/1950,11:30:00,3,LA,1,31.15,-91.95,2,27
5/14/1950,16:00:00,3,TX,1,29.53,-95.45,1,100
5/14/1950,17:00:00,3,NC,1,35.3,-79.8,3.8,50
5/14/1950,17:30:00,3,NC,2,35,-80.68,2,10
5/15/1950,0:01:00,3,TX,2,29.78,-98.83,18,10
5/15/1950,11:00:00,3,FL,1,28.58,-81.37,0.1,10
5/15/1950,11:00:00,3,FL,2,28.5,-81.37,0.1,10
5/16/1950,18:00:00,3,KS,2,37.55,-98.42,0.2,200
5/16/1950,19:30:00,3,OK,1,35.82,-99.12,7.3,100
5/18/1950,15:15:00,3,NE,1,40.22,-100.63,0.7,333
5/18/1950,19:00:00,3,KS,3,38.12,-96.82,14.9,100
5/18/1950,19:00:00,3,KS,0,39.85,-98.3,0.1,10
5/19/1950,1:30:00,3,KS,0,37.82,-96.85,0.1,10
5/22/1950,12:39:00,3,OK,1,35.67,-99.23,1.5,100
5/23/1950,18:00:00,3,KS,0,39.75,-99.32,0.2,250
5/24/1950,13:30:00,3,KS,2,37.27,-99.48,3.6,77
5/24/1950,17:30:00,3,KS,1,39.38,-96.97,10.7,40
5/24/1950,21:30:00,3,OK,2,36.45,-99.03,1,33
5/25/1950,16:30:00,3,TX,1,32.67,-101.88,3,880
5/29/1950,14:48:00,3,OK,1,36.38,-95.27,1,33
5/29/1950,17:00:00,3,TX,1,33.35,-96.92,3.4,267
5/29/1950,23:00:00,3,LA,1,32.1,-93.9,1,27
5/29/1950,23:00:00,3,LA,1,31.67,-93.7,1,27
5/30/1950,14:00:00,3,GA,1,34.75,-84.92,0.5,10
5/31/1950,15:30:00,3,NC,1,35.42,-77.25,0.1,10
5/1/1950,1:00:00,3,LA,1,31.7,-93.3,2,100
5/1/1950,5:00:00,3,MS,1,31.73,-91.07,0.1,10
5/1/1950,9:00:00,3,MS,1,31.55,-91.38,0.1,10
5/1/1950,10:30:00,3,LA,1,31.95,-92.63,15.4,150
5/1/1950,11:25:00,3,LA,2,31.55,-92.9,3.6,100
5/1/1950,11:30:00,3,LA,1,31.38,-91.73,1,100
5/1/1950,11:30:00,3,LA,0,31.75,-92.25,1,100
5/2/1950,2:00:00,3,LA,1,31.67,-92.9,32.8,150
5/2/1950,3:00:00,3,LA,2,31.55,-91.97,2,100
5/4/1950,20:00:00,3,KS,1,38.68,-99.32,0.1,10
5/4/1950,20:30:00,3,TX,2,36.4,-100.8,1.9,50
5/4/1950,21:00:00,3,IA,1,40.95,-95.73,0.1,10
