Station,Date,temp_high,temp_avg,temp_low,humidity_high,humidity_avg,humidity_low,wind_high,wind_avg,wind_low
KMSSTARK32,12/1/2022,6.2,2.6,0.9,95,82,53,14.3,,1.6
KMSSTARK32,12/2/2022,18.6,9.8,1.7,94,83,70,19.2,,3.2
KMSSTARK32,12/3/2022,24.1,20.5,18.2,99,93,73,9,,1.8
KMSSTARK32,12/4/2022,12.2,10.1,7.3,96,81,69,8.2,,1
KMSSTARK32,12/5/2022,20.7,16.9,8.5,97,93,86,10.5,,1.4
KMSSTARK32,12/6/2022,25.2,20.7,18.8,96,89,70,13.7,,1.1
KMSSTARK32,12/7/2022,27.6,20.8,14.7,98,88,59,15.1,,1.7
KMSSTARK32,12/8/2022,26.9,21.4,13.7,99,81,59,16.9,,3.9
KMSSTARK32,12/9/2022,21.3,18,15.3,99,94,85,15.1,,1.1
KMSSTARK32,12/10/2022,23.2,18,15.1,99,90,76,13.4,,1.4
KMSSTARK32,12/11/2022,17.1,15.6,13.5,99,98,97,8.2,,0.6
KMSSTARK32,12/12/2022,13.7,12.5,11.8,99,99,95,9.3,,1.6
KMSSTARK32,12/13/2022,16.3,15.3,13.7,99,97,91,34.9,,7.4
KMSSTARK32,12/14/2022,17.2,14,6.4,99,98,91,31.7,,5.7
KMSSTARK32,12/15/2022,14.1,7,0.8,99,80,44,18.7,,3
KMSSTARK32,12/16/2022,14.2,6.3,-2.2,99,71,35,13.7,,2.6
KMSSTARK32,12/17/2022,11.9,6.1,-2.8,95,63,34,22.4,,4.3
KMSSTARK32,12/18/2022,10.8,1.5,-4.5,97,71,32,13,,1.2
KMSSTARK32,12/19/2022,5.7,2,-5,96,78,59,13.7,,1.6
KMSSTARK32,12/20/2022,7.3,5.9,3.9,98,93,73,9.7,,1.5
KMSSTARK32,12/21/2022,8.9,7.5,5.7,98,95,90,14.3,,3.1
KMSSTARK32,12/22/2022,14.7,8.3,-6.2,99,91,69,27.4,,4.4
KMSSTARK32,12/23/2022,-5.2,-9.7,-14,85,69,51,21.6,,6
KMSSTARK32,12/24/2022,1.8,-5.8,-11.2,80,63,38,16.3,,3.6
KMSSTARK32,12/25/2022,5.5,-3.3,-8.5,93,65,23,13,,1.6
KMSSTARK32,12/26/2022,6.4,-1.5,-8.7,94,72,38,9.3,,0.5
KMSSTARK32,12/27/2022,13.2,0.3,-7,96,76,37,11.9,,0.9
KMSSTARK32,12/28/2022,19.5,7.5,-4.9,98,76,53,17.2,,3.4
KMSSTARK32,12/29/2022,23.2,15.6,10.6,91,73,58,17.2,,3.8
KMSSTARK32,12/30/2022,15,13.3,12.4,99,90,79,28.5,,3
KMSSTARK32,12/31/2022,22.9,15.8,12.1,99,89,61,18,,1.5
KMSSTARK18,12/1/2022,14.2,4,-3.3,80,58,18,2.2,0,0
KMSSTARK18,12/2/2022,19.1,10.6,0.3,80,71,51,6.5,0.1,0
KMSSTARK18,12/3/2022,23.5,17.4,8.5,80,71,53,2.9,0,0
KMSSTARK18,12/4/2022,13.7,8.4,2.8,80,70,50,1.1,0,0
KMSSTARK18,12/5/2022,19.5,14,8.7,80,80,77,0.4,0,0
KMSSTARK18,12/6/2022,24.9,19.9,16.9,80,74,55,1.4,0,0
KMSSTARK18,12/7/2022,27.2,20.8,15.1,80,73,48,1.1,0,0
KMSSTARK18,12/8/2022,28.5,20.3,13.4,80,68,37,2.2,0,0
KMSSTARK18,12/9/2022,22.1,18.5,16.1,80,77,65,1.1,0,0
KMSSTARK18,12/10/2022,23.3,17.7,11.8,80,75,58,1.4,0,0
KMSSTARK18,12/11/2022,16.7,15.3,13.5,80,80,80,0,0,0
KMSSTARK18,12/12/2022,13.9,12.9,11.7,80,80,80,0.4,0,0
KMSSTARK18,12/13/2022,16.1,14.6,11.3,80,79,75,7.6,0,0
KMSSTARK18,12/14/2022,16.9,13.8,6.5,80,80,75,2.9,0,0
KMSSTARK18,12/15/2022,15,6.9,0.3,80,65,26,2.2,0,0
KMSSTARK18,12/16/2022,14.8,6.1,-1.4,80,55,17,1.4,0,0
KMSSTARK18,12/17/2022,12.7,5.9,-2.6,80,48,15,7.6,0.1,0
KMSSTARK18,12/18/2022,11,1.1,-4.4,80,57,14,2.2,0,0
KMSSTARK18,12/19/2022,6.5,1.9,-5,80,64,40,0,0,0
KMSSTARK18,12/20/2022,7.3,5.9,4.2,80,77,55,0.4,0,0
KMSSTARK18,12/21/2022,10.4,8,6,80,78,69,0.4,0,0
KMSSTARK18,12/22/2022,16.3,8.5,-5.9,80,75,47,2.5,0,0
KMSSTARK18,12/23/2022,-5.6,-9.7,-13.9,68,53,35,1.4,0,0
KMSSTARK18,12/24/2022,0.2,-6.7,-12.4,70,51,26,2.9,0,0
KMSSTARK18,12/25/2022,5.4,-3.5,-8.4,75,50,10,1.1,0,0
KMSSTARK18,12/26/2022,5.4,-1.7,-8.7,79,61,23,0.4,0,0
KMSSTARK18,12/27/2022,13.3,0.2,-6.7,79,60,19,0.4,0,0
KMSSTARK18,12/28/2022,20.7,6.9,-4.7,80,61,32,6.1,0,0
KMSSTARK18,12/29/2022,23.8,15.2,8,78,58,37,1.4,0,0
KMSSTARK18,12/30/2022,15.7,13.1,12.3,80,74,59,0.4,0,0
KMSSTARK18,12/31/2022,23.1,15.2,11.7,80,74,41,0.4,0,0
