# All values are daily average,,,
# Temperatures are in and wind speeds in,,,
Date,temperature,humidity,wind
8/1/2020,25.3,0.76,0.6
8/2/2020,24.7,0.74,0.1
8/3/2020,25.3,0.72,0.1
8/4/2020,25.3,0.75,0.3
8/5/2020,24.2,0.74,0.2
8/6/2020,24.6,0.7,0.2
8/7/2020,25.1,0.72,0.2
8/8/2020,27.3,0.69,0.2
8/9/2020,28.3,0.7,0.1
8/10/2020,28.4,0.75,0.2
8/11/2020,28,0.74,0.4
8/12/2020,25,0.84,0.2
8/13/2020,24.8,0.86,0.1
8/14/2020,26.1,0.84,0.1
8/15/2020,26.5,0.79,0.2
8/16/2020,24.3,0.84,0.1
8/17/2020,25.5,0.73,0.1
8/18/2020,25.5,0.69,0.1
8/19/2020,24.5,0.75,0.4
8/20/2020,23.8,0.77,0.1
8/21/2020,22.7,0.84,0.1
8/22/2020,22.6,0.81,0.1
8/23/2020,25,0.75,0.1
8/24/2020,26.6,0.73,0.2
8/25/2020,24.8,0.91,0
8/26/2020,26.5,0.82,0.2
8/27/2020,26.9,0.82,1.5
8/28/2020,27.3,0.77,1
8/29/2020,27.1,0.76,0.8
8/30/2020,27.1,0.81,0.4
8/31/2020,26.1,0.85,0.3
